Sample	Project	Sub_Location	Location	Season	Month	Year	Sample_Type	Sample_ID	Day	Station_ID	Station_Name	Collected_by	Time	Samples_Collected_by	Temperature_C	mm_Hg	DO_mg_L	DO_LDO	Specific_Conductance_uS_cm	Salinity_ppt	pH	pH_mv	IVCH_ug_L	Turbidity_ Fluorometer	Comments
PR563A	S015	BSJ1	BSJ	W	July	2021	N	PR563A	20	BSJ1	San Juan Bay 1	Boat	10:23 AM	ICC	28.7	763.5	7.72	123.30%	54176	35.71	7.65	-72.5	2.218	1.507	 
PR325	S015	BSJ1	BSJ	D	January	2022	N	PR325	25	BSJ1	San Juan Bay 1	Boat	N/A	ICC	27.128	N/A	5.86	90.00%	53.817	35.51	8.01	N/A	N/A	0.4	 
PR395	S015	BSJ1	BSJ	D	March	2022	N	PR395	29	BSJ1	San Juan Bay 1	Boat	10:46 AM	ICC	28.3	763	6.98	110.9	55731	36.9	8.02	-92	2.883	2.241	 
PR562A	S015	BSJ2	BSJ	W	July	2021	N	PR562A	20	BSJ2	San Juan Bay 2	Boat	10:12 AM	ICC	28.5	763.4	7.45	118.60%	54036	35.62	7.67	-73.6	2.819	0.711	 
PR160C	S015	BSJ2	BSJ	W	September	2021	N	PR160C	28	BSJ2	San Juan Bay 2	Boat	10:30 AM	ICC	30.6	759.4	9.2	143.30%	53865	35.42	7.68	-79.6	4.215	1.178	 
PR323	S015	BSJ2	BSJ	D	January	2022	N	PR323	25	BSJ2	San Juan Bay 2	Boat	N/A	ICC	27.057	N/A	5.95	91.30%	53.88	35.56	8.03	N/A	N/A	0.4	 
PR394	S015	BSJ2	BSJ	D	March	2022	N	PR394	29	BSJ2	San Juan Bay 2 	Boat	10:31 AM	ICC	27.5	763.1	7.08	112.1	55632	36.85	7.99	-93	1.805	1.671	 
PR560A	S015	BSJ3	BSJ	W	July	2021	N	PR560A	20	BSJ3	San Juan Bay 3	Boat	9:25 AM	ICC	28.7	763.2	7.5	117.20%	54384	35.88	7.61	-69.5	5.277	1.635	 
PR162C	S015	BSJ3	BSJ	W	September	2021	N	PR162C	28	BSJ3	San Juan Bay 3	Boat	9:30 AM	ICC	30.8	759.4	4.89	79.70%	54070	35.57	7.65	-77.2	5.762	1.837	 
PR321	S015	BSJ3	BSJ	D	January	2022	N	PR321	25	BSJ3	San Juan Bay 3	Boat	N/A	ICC	27.66	N/A	5.7	99.40%	53.99	35.62	7.97	N/A	N/A	0.5	 
PR392	S015	BSJ3	BSJ	D	March	2022	N	PR392	29	BSJ3	San Juan Bay 3	Boat	9:27 AM	ICC	27.6	763.2	6.3	98.2	55577	36.8	7.97	-91.9	4.471	3.178	 
PR561A	S015	CMP1	CMP	W	July	2021	N	PR561A	20	CMP1	Caño Martin Peña 1	Boat	9:47 AM	ICC	28.9	763.3	5.59	82.30%	38638	27.57	7.35	-48.5	108.5	7.212	Water color: brown
