Sample_Name	Project	Location	Season	Month	Year	Sample_Type	Sample_ID
PR419	S015	CS1	D	April	2022	N	PR419
PR417	S015	CS2	D	April	2022	N	PR417
PR422	S015	LLC1	D	April	2022	N	PR422
PR421	S015	LSJ1	D	April	2022	N	PR421
PR420	S015	LSJ2	D	April	2022	N	PR420
PR416	S015	LT1	D	April	2022	N	PR416
PR415	S015	LT2	D	April	2022	N	PR415
90	S003	CMP2	W	August	2021	N	90
44	S003	CMPE	W	August	2021	N	44
42	S003	CMPW	W	August	2021	N	42
63	S003	CS1	W	August	2021	N	63
5	S003	LP1	W	August	2021	N	5
18	S003	LSJ3	W	August	2021	N	18
pr293a	S003	CMP2	D	December	2021	N	pr293a
pr271a	S003	CMPW	D	December	2021	N	pr271a
pr262a	S003	CS1	D	December	2021	N	pr262a
pr285a	S003	CS1	D	December	2021	N	pr285a
pr295a	S003	LP1	D	December	2021	N	pr295a
pr267a	S003	LSJ3	D	December	2021	N	pr267a
pr290a	S003	LSJ3	D	December	2021	N	pr290a
PR425	S015	BSJ1	D	January	2022	N	PR425
PR325	S015	BSJ1	D	January	2022	N	PR325
PR323	S015	BSJ2	D	January	2022	N	PR323
PR321	S015	BSJ3	D	January	2022	N	PR321
PR322	S015	CMP1	D	January	2022	N	PR322
PR332	S015	CMP2	D	January	2022	N	PR332
PR333	S015	CMPE	D	January	2022	N	PR333
PR331	S015	CMPW	D	January	2022	N	PR331
PR315	S015	CS1	D	January	2022	N	PR315
PR318	S015	LLC1	D	January	2022	N	PR318
PR328	S015	LP1	D	January	2022	N	PR328
PR317	S015	LSJ1	D	January	2022	N	PR317
PR316	S015	LSJ2	D	January	2022	N	PR316
PR334	S015	LSJ3	D	January	2022	N	PR334
PR311	S015	LT2	D	January	2022	N	PR311
PR563A	S015	BSJ1	W	July	2021	N	PR563A
PR562A	S015	BSJ2	W	July	2021	N	PR562A
PR560A	S015	BSJ3	W	July	2021	N	PR560A
PR781A	S015	BVSCC	W	July	2023	N	PR781A
PR781B	S015	BVSCC	W	July	2023	N	PR781B
PR561A	S015	CMP1	W	July	2021	N	PR561A
PR565A	S015	CMP2	W	July	2021	N	PR565A
cmp2-3	S003	CMP2	W	July	2021	N	cmp2-3
cmpe-3	S003	CMPE	W	July	2021	N	cmpe-3
cmpw-3	S003	CMPW	W	July	2021	N	cmpw-3
cs1-3	S003	CS1	W	July	2021	N	cs1-3
PR556A	S015	CS2	W	July	2021	N	PR556A
PR559A	S015	LLC1	W	July	2021	N	PR559A
PR564A	S015	LP1	W	July	2021	N	PR564A
lp1-3	S003	LP1	W	July	2021	N	lp1-3
PR558A	S015	LSJ1	W	July	2021	N	PR558A
PR557A	S015	LSJ2	W	July	2021	N	PR557A
PR566A	S015	LSJ3	W	July	2021	N	PR566A
lsj3-3	S003	LSJ3	W	July	2021	N	lsj3-3
PR555A	S015	LT1	W	July	2021	N	PR555A
PR554A	S015	LT2	W	July	2021	N	PR554A
cmp2-2	S003	CMP2	W	June	2021	N	cmp2-2
cmpe-2	S003	CMPE	W	June	2021	N	cmpe-2
cmpw-2	S003	CMPW	W	June	2021	N	cmpw-2
cs1-2	S003	CS1	W	June	2021	N	cs1-2
lp1-2	S003	LP1	W	June	2021	N	lp1-2
lsj3-2	S003	LSJ3	W	June	2021	N	lsj3-2
PR395	S015	BSJ1	D	March	2022	N	PR395
PR394	S015	BSJ2	D	March	2022	N	PR394
PR392	S015	BSJ3	D	March	2022	N	PR392
PR393	S015	CMP1	D	March	2022	N	PR393
PR400	S015	CMP2	D	March	2022	N	PR400
PR401	S015	CMPW	D	March	2022	N	PR401
PR399	S015	LP1	D	March	2022	N	PR399
PR402	S015	LSJ3	D	March	2022	N	PR402
