	Project	Sub_Location	Location	Season	Month	Year	Sample_Type	Sample_ID	Day
PR563A	S015	BSJ1	BSJ	W	July	2021	N	PR563A	25
PR562A	S015	BSJ2	BSJ	W	July	2021	N	PR562A	25
PR560A	S015	BSJ3	BSJ	W	July	2021	N	PR560A	25
PR160C	S015	BSJ2	BSJ	W	September	2021	N	PR160C	23
PR162C	S015	BSJ3	BSJ	W	September	2021	N	PR162C	2
PR425	S015	BSJ1	BSJ	D	April	2022	N	PR425	3
PR325	S015	BSJ1	BSJ	D	January	2022	N	PR325	16
PR323	S015	BSJ2	BSJ	D	January	2022	N	PR323	8
PR321	S015	BSJ3	BSJ	D	January	2022	N	PR321	1
PR395	S015	BSJ1	BSJ	D	March	2022	N	PR395	15
PR394	S015	BSJ2	BSJ	D	March	2022	N	PR394	16
PR392	S015	BSJ3	BSJ	D	March	2022	N	PR392	1
PR464A	S015	BSJ1-ENR	BSJ-ENR	D	May	2023	E	PR464A	15
PR465A	S015	BSJ2-ENR	BSJ-ENR	D	May	2023	E	PR465A	20
PR466A	S015	BSJ3-ENR	BSJ-ENR	D	May	2023	E	PR466A	20
PR467A	S015	BSJ4-ENR	BSJ-ENR	D	May	2023	E	PR467A	20
PR468A	S015	BSJ5-ENR	BSJ-ENR	D	May	2023	E	PR468A	20
PR469A	S015	BSJ6-ENR	BSJ-ENR	D	May	2023	E	PR469A	22
PR470A	S015	BSJ7-ENR	BSJ-ENR	D	May	2023	E	PR470A	1
PR781A	N/A	BVSCC	BVSCC	W	July	2023	N	PR781A	1
PR781B	N/A	BVSCC	BVSCC	W	July	2023	N	PR781B	1
90	S003	CMP2	CMP	W	August	2021	N	90	19
pr293a	S003	CMP2	CMP	D	December	2021	N	pr293a	19
PR561A	S015	CMP1	CMP	W	July	2021	N	PR561A	19
PR565A	S015	CMP2	CMP	W	July	2021	N	PR565A	21
cmp2-3	S003	CMP2	CMP	W	July	2021	N	cmp2-3	1
cmp2-2	S003	CMP2	CMP	W	June	2021	N	cmp2-2	19
cmp2-1	S003	CMP2	CMP	D	May	2021	N	cmp2-1	19
pr249a	S003	CMP2	CMP	W	November	2021	N	pr249a	22
183	S003	CMP2	CMP	W	October	2021	N	183	1
PR164C	S015	CMP1	CMP	W	September	2021	N	PR164C	19
PR102C	S015	CMP2	CMP	W	September	2021	N	PR102C	19
101	S003	CMP2	CMP	W	September	2021	N	101	9
PR322	S015	CMP1	CMP	D	January	2022	N	PR322	9
PR332	S015	CMP2	CMP	D	January	2022	N	PR332	9
PR393	S015	CMP1	CMP	D	March	2022	N	PR393	30
PR400	S015	CMP2	CMP	D	March	2022	N	PR400	11
44	S003	CMPE	CMPE	W	August	2021	N	44	9
cmpe-3	S003	CMPE	CMPE	W	July	2021	N	cmpe-3	27
cmpe-2	S003	CMPE	CMPE	W	June	2021	N	cmpe-2	27
cmpe-1	S003	CMPE	CMPE	D	May	2021	N	cmpe-1	27
pr248a	S003	CMPE	CMPE	W	November	2021	N	pr248a	26
218	S003	CMPE	CMPE	W	October	2021	N	218	24
PR109C	S015	CMPE	CMPE	W	September	2021	N	PR109C	27
108	S003	CMPE	CMPE	W	September	2021	N	108	10
PR333	S015	CMPE	CMPE	D	January	2022	N	PR333	10
PR473A	S015	CMP1-ENR	CMP-ENR	D	May	2023	E	PR473A	10
PR472A	S015	CMP2-ENR	CMP-ENR	D	May	2023	E	PR472A	9
42	S003	CMPW	CMPW	W	August	2021	N	42	10
pr271a	S003	CMPW	CMPW	D	December	2021	N	pr271a	14
cmpw-3	S003	CMPW	CMPW	W	July	2021	N	cmpw-3	26
cmpw-2	S003	CMPW	CMPW	W	June	2021	N	cmpw-2	14
cmpw-1	S003	CMPW	CMPW	D	May	2021	N	cmpw-1	25
pr250a	S003	CMPW	CMPW	W	November	2021	N	pr250a	28
181	S003	CMPW	CMPW	W	October	2021	N	181	26
PR107C	S015	CMPW	CMPW	W	September	2021	N	PR107C	28
106	S003	CMPW	CMPW	W	September	2021	N	106	28
PR331	S015	CMPW	CMPW	D	January	2022	N	PR331	28
PR401	S015	CMPW	CMPW	D	March	2022	N	PR401	30
63	S003	CS1	CS	W	August	2021	N	63	30
pr262a	S003	CS1	CS	D	December	2021	N	pr262a	30
pr285a	S003	CS1	CS	D	December	2021	N	pr285a	30
cs1-3	S003	CS1	CS	W	July	2021	N	cs1-3	30
PR556A	S015	CS2	CS	W	July	2021	N	PR556A	30
cs1-2	S003	CS1	CS	W	June	2021	N	cs1-2	27
cs1-1	S003	CS1	CS	D	May	2021	N	cs1-1	27
198	S003	CS1	CS	W	October	2021	N	198	27
PR143C	S015	CS1	CS	W	September	2021	N	PR143C	27
142	S003	CS1	CS	W	September	2021	N	142	29
