Sample-ID	Sample_Name
PR554A	PR554A
PR562A	PR562A
PR143C	PR143C
PR96C	PR96C
PR315	PR315
PR328	PR328
PR394	PR394
PR417	PR417
PR467A	PR467A
PR476A	PR476A
PR484A	PR484A
PR781A	PR781A
PR555A	PR555A
PR563A	PR563A
PR149C	PR149C
PR102C	PR102C
PR316	PR316
PR331	PR331
PR395	PR395
PR419	PR419
PR468A	PR468A
PR477A	PR477A
PR485A	PR485A
PR781B	PR781B
PR556A	PR556A
PR564A	PR564A
PR147C	PR147C
PR109C	PR109C
PR317	PR317
PR332	PR332
PR399	PR399
PR420	PR420
PR469A	PR469A
PR478A	PR478A
PR488A	PR488A
PR557A	PR557A
PR565A	PR565A
PR151C	PR151C
PR107C	PR107C
PR318	PR318
PR333	PR333
PR400	PR400
PR421	PR421
PR470A	PR470A
PR479A	PR479A
PR489A	PR489A
PR558A	PR558A
PR566A	PR566A
PR162C	PR162C
PR105C	PR105C
PR321	PR321
PR334	PR334
PR401	PR401
PR422	PR422
PR471A	PR471A
PR480A	PR480A
PR490A	PR490A
PR559A	PR559A
PR141C	PR141C
PR164C	PR164C
PR311	PR311
PR322	PR322
PR425	PR425
PR402	PR402
PR464A	PR464A
PR472A	PR472A
PR481A	PR481A
PR491A	PR491A
PR560A	PR560A
PR139C	PR139C
PR160C	PR160C
PR323	PR323
PR392	PR392
PR415	PR415
PR465A	PR465A
PR473A	PR473A
PR482A	PR482A
PR492A	PR492A
PR561A	PR561A
PR145C	PR145C
PR325	PR325
PR393	PR393
PR416	PR416
PR466A	PR466A
PR474A	PR474A
PR483A	PR483A
PR493A	PR493A
MOCK	Mock
Undetermined	Undeter
B53	B53
B84	B84
B59	B59
B43	B43
B36	B36
B44	B44
B107	B107
B90	B90
B126	B126
B141	B141
B128	B128
B152	B152
B134	B134
B132	B132
B140	B140
B89	B89
B100	B100
B102	B102
B60	B60
B76	B76
B56	B56
blank	blank
blank2	blank2
Mock-com	Mock-com
B130	B130
B136	B136
B138	B138
B33	B33
B25	B25
B41	B41
B81	B81
B68	B68
B57	B57
B87	B87
B91	B91
B117	B117
B143	B143
B139	B139
B154	B154
B69	B69
B52	B52
B75	B75
B99	B99
B118	B118
B124	B124
B26	B26
B34	B34
B42	B42
lp1-1	lp1-1
cs1-1	cs1-1
cmpe-1	cmpe-1
lsj3-1	lsj3-1
cmpw-1	cmpw-1
cmp2-1	cmp2-1
cmpe-2	cmpe-2
lsj3-2	lsj3-2
cmpw-2	cmpw-2
cmp2-2	cmp2-2
lp1-2	lp1-2
cs1-2	cs1-2
lp1-3	lp1-3
cmp2-3	cmp2-3
lsj3-3	lsj3-3
cs1-3	cs1-3
cmpe-3	cmpe-3
cmpw-3	cmpw-3
5	5
18	18
42	42
44	44
63	63
90	90
95	95
101	101
104	104
106	106
108	108
142	142
181	181
183	183
198	198
218	218
220	220
239	239
pr242a	pr242a
pr247a	pr247a
pr248a	pr248a
pr249a	pr249a
pr250a	pr250a
pr262a	pr262a
pr267a	pr267a
pr271a	pr271a
pr285a	pr285a
pr290a	pr290a
pr293a	pr293a
pr295a	pr295a
